Station,Location,Capacity (MW),Fuel Type,Type
Hoping Power Plant,"Xiulin, Hualien",1320,Coal,Non-renewable
Hsinta Power Plant,"Yong'an and Qieding, Kaohsiung",4326,Coal,Non-renewable
Linkou Power Plant,"Linkou, New Taipei",0,Coal,Non-renewable
Mailiao Power Plant,"Mailiao, Yunlin",4200,Coal,Non-renewable
Taichung Power Plant,"Longjing, Taichung",5824,Coal,Non-renewable
Chienshan Power Plant,"Huxi, Penghu",140,Diesel,Non-renewable
Lanyu Power Plant,"Orchid Island, Taitung",6.5,Diesel,Non-renewable
Qimei Power Plant,"Cimei, Penghu",,Diesel,Non-renewable
Tashan Power Plant,"Jincheng, Kinmen",91,Diesel,Non-renewable
Zhushan Power Plant,"Nangan, Lienchiang",15.4,Diesel,Non-renewable
Hsieh-ho Power Plant,"Zhongshan, Keelung",2000,Oil,Non-renewable
Bihai Power Plant,"Xiulin, Hualien",61.2,Hydroelectric,Renewable
Cholan Power Plant,"Zhuolan, Miaoli",80,Hydroelectric,Renewable
Minhu Pumped Storage Hydro Power Station,"Shuili, Nantou",1008,Hydroelectric,Renewable
Techi Power Plant,"Dongshi, Heping, and Houli, Taichung",234,Hydroelectric,Renewable
Gueishan Power Plant,"Wulai, New Taipei",111,Hydroelectric,Renewable
Kaoping Power Plant,"Meinong, Kaohsiung",7,Hydroelectric,Renewable
Kukuan Power Plant,"Heping, Taichung",180,Hydroelectric,Renewable
Lanyang Power Plant,"Sanxing, Yilan",26,Hydroelectric,Renewable
Maan Power Plant,"Heping, Taichung",133,Hydroelectric,Renewable
Mingtan Pumped Storage Hydro Power Plant,"Shuili, Nantou",1602,Hydroelectric,Renewable
Qingshan Power Plant,"Heping, Taichung",360,Hydroelectric,Renewable
Shihmen Power Plant,"Longtan, Taoyuan",130,Hydroelectric,Renewable
Tienlun Power Plant,"Heping, Taichung",195,Hydroelectric,Renewable
Zengwen Power Plant,"Dapu, Chiayi",50,Hydroelectric,Renewable
Tungpu Power Plant,Hualien County,183,Hydroelectric,Renewable
Wanta Power Plant,"Ren-ai, Nantou",36,Hydroelectric,Renewable
Talin Power Plant,"Siaogang, Kaohsiung",2400,Mixed,Non-renewable
Changsheng Power Plant,"Luzhu, Taoyuan",900,Gas,Non-renewable
Chiahui Power Plant,"Minxiong, Chiayi",670,Gas,Non-renewable
Hsingneng Power Plant,"Lukang, Changhua",490,Gas,Non-renewable
Hsingyuan Power Plant,"Lukang, Changhua",490,Gas,Non-renewable
Hsintao Power Plant,"Guanxi, Hsinchu",600,Gas,Non-renewable
Kuokuang Power Plant,"Guishan, Taoyuan",480,Gas,Non-renewable
Nanpu Power Plant,"Cianjhen, Kaohsiung",1118,Gas,Non-renewable
Sun Ba Power Plant,"Shanshang, Tainan",980,Gas,Non-renewable
Tatan Power Plant,"Guanyin, Taoyuan",4384,Gas,Non-renewable
Tunghsiao Power Plant,"Tongxiao, Miaoli",1815,Gas,Non-renewable
Jinshan Nuclear Power Plant,"Shimen, New Taipei",1208,Nuclear,Nuclear
Kuosheng Nuclear Power Plant,"Wanli, New Taipei",1896,Nuclear,Nuclear
Maanshan Nuclear Power Plant,"Hengchun, Pingtung",1780,Nuclear,Nuclear
